#Software: Microsoft Internet Information Server 4.0
#Version: 1.0
#Date: 2004-03-30 01:32:28
#Fields: date time c-ip cs-username s-sitename s-computername s-ip cs-method cs-uri-stem cs-uri-query sc-status sc-win32-status sc-bytes cs-bytes time-taken s-port cs-version cs(User-Agent) cs(Cookie) cs(Referer)
2004-03-30 02:55:59 209.148.138.42 - W3SVC399 VNT28.BELL 10.10.8.31 GET /image/top_but03b.gif - 200 0 785 308 500 80 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1) - http://www.sictec.com/index_CHN.htm
2004-03-30 02:56:01 209.148.138.42 - W3SVC399 VNT28.BELL 10.10.8.31 GET /image/top_but04b.gif - 200 0 762 308 625 80 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1) - http://www.sictec.com/index_CHN.htm
2004-03-30 06:10:46 202.108.234.194 - W3SVC399 VNT28.BELL 10.10.8.31 GET /Index.htm - 200 0 1061 354 593 80 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+98) - -
2004-03-30 06:10:46 202.108.234.194 - W3SVC399 VNT28.BELL 10.10.8.31 GET /image/index.jpg - 200 0 31064 241 16 80 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+98) - http://www.sictec.com/
2004-03-30 07:17:55 219.236.38.47 - W3SVC399 VNT28.BELL 10.10.8.31 GET /Index.htm - 304 0 194 448 438 80 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1) - -
2004-03-30 07:17:55 219.236.38.47 - W3SVC399 VNT28.BELL 10.10.8.31 GET /image/index.jpg - 304 0 143 334 0 80 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1) - http://www.sictec.com
2004-03-30 07:18:21 219.236.38.47 - W3SVC399 VNT28.BELL 10.10.8.31 GET /index_CHN.htm - 304 0 143 493 0 80 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1) - http://www.sictec.com
2004-03-30 07:18:21 219.236.38.47 - W3SVC399 VNT28.BELL 10.10.8.31 GET /css.css - 304 0 143 340 0 80 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1) - http://www.sictec.com/index_CHN.htm
2004-03-30 07:18:21 219.236.38.47 - W3SVC399 VNT28.BELL 10.10.8.31 GET /image/top_but01a.gif - 304 0 142 352 0 80 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1) - http://www.sictec.com/index_CHN.htm
2004-03-30 07:18:22 219.236.38.47 - W3SVC399 VNT28.BELL 10.10.8.31 GET /image_home/logo.gif - 304 0 142 351 0 80 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1) - http://www.sictec.com/index_CHN.htm
2004-03-30 07:18:22 219.236.38.47 - W3SVC399 VNT28.BELL 10.10.8.31 GET /image/top_but02a.gif - 304 0 142 352 0 80 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1) - http://www.sictec.com/index_CHN.htm
2004-03-30 07:18:22 219.236.38.47 - W3SVC399 VNT28.BELL 10.10.8.31 GET /image/top_but03a.gif - 304 0 140 350 0 80 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1) - http://www.sictec.com/index_CHN.htm
2004-03-30 07:18:22 219.236.38.47 - W3SVC399 VNT28.BELL 10.10.8.31 GET /image/top_but04a.gif - 304 0 142 352 0 80 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1) - http://www.sictec.com/index_CHN.htm
2004-03-30 07:18:22 219.236.38.47 - W3SVC399 VNT28.BELL 10.10.8.31 GET /image/top_but05a.gif - 304 0 141 351 0 80 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1) - http://www.sictec.com/index_CHN.htm
2004-03-30 07:18:23 219.236.38.47 - W3SVC399 VNT28.BELL 10.10.8.31 GET /image/top_but06a.gif - 304 0 142 352 0 80 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1) - http://www.sictec.com/index_CHN.htm
2004-03-30 07:18:23 219.236.38.47 - W3SVC399 VNT28.BELL 10.10.8.31 GET /image/top_but07a.gif - 304 0 142 352 0 80 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1) - http://www.sictec.com/index_CHN.htm
2004-03-30 07:18:23 219.236.38.47 - W3SVC399 VNT28.BELL 10.10.8.31 GET /image/top_but08a.gif - 304 0 142 352 0 80 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1) - http://www.sictec.com/index_CHN.htm
2004-03-30 07:18:23 219.236.38.47 - W3SVC399 VNT28.BELL 10.10.8.31 GET /image/top_but09a.gif - 304 0 142 352 0 80 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1) - http://www.sictec.com/index_CHN.htm
2004-03-30 07:18:23 219.236.38.47 - W3SVC399 VNT28.BELL 10.10.8.31 GET /image/top_but10a.gif - 304 0 142 352 0 80 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1) - http://www.sictec.com/index_CHN.htm
2004-03-30 07:18:24 219.236.38.47 - W3SVC399 VNT28.BELL 10.10.8.31 GET /image_home/middle.jpg - 304 0 142 353 0 80 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1) - http://www.sictec.com/index_CHN.htm
2004-03-30 07:18:24 219.236.38.47 - W3SVC399 VNT28.BELL 10.10.8.31 GET /image_home/title01.gif - 304 0 142 354 0 80 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1) - http://www.sictec.com/index_CHN.htm
2004-03-30 07:18:24 219.236.38.47 - W3SVC399 VNT28.BELL 10.10.8.31 GET /image_home/shim.gif - 304 0 141 350 0 80 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1) - http://www.sictec.com/index_CHN.htm
2004-03-30 07:18:24 219.236.38.47 - W3SVC399 VNT28.BELL 10.10.8.31 GET /image_home/title02.gif - 304 0 141 353 0 80 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1) - http://www.sictec.com/index_CHN.htm
2004-03-30 07:18:24 219.236.38.47 - W3SVC399 VNT28.BELL 10.10.8.31 GET /image/new_new01.gif - 304 0 141 350 16 80 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1) - http://www.sictec.com/index_CHN.htm
